FILE_NAME=Trajectory_StowToL4.csv,T=0.4,dt=0.001,h0=0.0,hf=0.7,theta0_deg=-93.0,thetaf_deg=-235.0,dh0=0.0,dhf=0.0,dtheta0=0.0,dthetaf=0.0,h_min_for_arm=0.2,penalty_strength=1000000.0
time,height,angle_deg,dh,dtheta_rad_s
2.900000000000000147e-02,4.134261015239935888e-02,-9.303696621181680371e+01,2.642803074036339517e+00,-5.407787087885039534e-02
2.999999999999999889e-02,4.398541322643569063e-02,-9.304006464558320033e+01,2.701852369836663659e+00,-5.944600354565358208e-02
3.099999999999999978e-02,4.668726559627235650e-02,-9.304347065069529776e+01,2.758765644956790997e+00,-6.556043046664424001e-02
3.200000000000000067e-02,4.944603124122914917e-02,-9.304722698666409997e+01,2.813543564052251256e+00,-7.251518820264649112e-02
3.300000000000000155e-02,5.225957480528140020e-02,-9.305138180089871014e+01,2.866186924281732384e+00,-8.041295833445763486e-02
3.400000000000000244e-02,5.512576172956313442e-02,-9.305598912402943768e+01,2.916696686235189073e+00,-8.936526871591408960e-02
3.500000000000000333e-02,5.804245841579832449e-02,-9.306110937676190531e+01,2.965074011951176924e+00,-9.949257480166119605e-02
3.600000000000000422e-02,6.100753242774949875e-02,-9.306680988139093813e+01,3.011320311472828859e+00,-1.109241994054731978e-01
3.699999999999999817e-02,6.401885273922233721e-02,-9.307316536986273547e+01,3.055437299612838942e+00,-1.237981090993128114e-01
3.799999999999999906e-02,6.707429003883516594e-02,-9.308025847902582939e+01,3.097427064826135279e+00,-1.382605060244911366e-01
3.899999999999999994e-02,7.017171710366131021e-02,-9.308818022249437263e+01,3.137292152315250604e+00,-1.544652152547330293e-01
4.000000000000000083e-02,7.330900925597655382e-02,-9.309703042741004708e+01,3.175035663704961930e+00,-1.725728501124708381e-01
4.100000000000000172e-02,7.648404491968152641e-02,-9.310691812338004070e+01,3.210661375803248507e+00,-1.927497410584662618e-01
4.200000000000000261e-02,7.969470629548476570e-02,-9.311796187004492253e+01,3.244173881094591927e+00,-2.151666179864781259e-01
4.300000000000000350e-02,8.293888017657936873e-02,-9.313029000914764310e+01,3.275578752665146087e+00,-2.399970409594627263e-01
4.399999999999999745e-02,8.621445892924450849e-02,-9.314404082669024376e+01,3.304882736209633354e+00,-2.674155805808782205e-01
4.499999999999999833e-02,8.951934166545413851e-02,-9.315936261083356840e+01,3.332093971586832737e+00,-2.975957562174872395e-01
4.599999999999999922e-02,9.285143563704097158e-02,-9.317641359166583470e+01,3.357222246042276925e+00,-3.307077480434257311e-01
4.700000000000000011e-02,9.620865788308324840e-02,-9.319536174988100186e+01,3.380279280671687481e+00,-3.669159071747757350e-01
4.800000000000000100e-02,9.958893716375492866e-02,-9.321638448279833256e+01,3.401279050927148884e+00,-4.063760967776098298e-01
4.900000000000000189e-02,1.029902162146820871e-01,-9.323966811803869348e+01,3.420238140945389471e+00,-4.492329056859914460e-01
5.000000000000000278e-02,1.064104543556274735e-01,-9.326540726755290223e+01,3.437176130186528678e+00,-4.956167844502653019e-01
5.100000000000000366e-02,1.098476304858140018e-01,-9.329380401755776120e+01,3.452116009305722155e+00,-5.456411615163204720e-01
5.200000000000000455e-02,1.132997464951197297e-01,-9.332506695324126156e+01,3.465084620346003508e+00,-5.993996040683298165e-01
5.299999999999999850e-02,1.167648311154657337e-01,-9.335941002079619011e+01,3.476113114261374371e+00,-6.569630936099480900e-01
5.399999999999999939e-02,1.202409442297271147e-01,-9.339705123335589576e+01,3.485237416495721163e+00,-7.183774902923679706e-01
5.500000000000000028e-02,1.237261816462228436e-01,-9.343821123164684650e+01,3.492498688915781635e+00,-7.836612620409432184e-01
5.600000000000000117e-02,1.272186803351386120e-01,-9.348311171452969859e+01,3.497943773904367948e+00,-8.528035544600703899e-01
5.700000000000000205e-02,1.307166241090429726e-01,-9.353197375895400967e+01,3.501625603960370370e+00,-9.257626751551981670e-01
5.800000000000000294e-02,1.342182497130033347e-01,-9.358501605307112925e+01,3.503603557836080906e+00,-1.002465061432592286e+00
5.900000000000000383e-02,1.377218532708394116e-01,-9.364245307020054554e+01,3.503943742191418131e+00,-1.082804793347999617e+00
5.999999999999999778e-02,1.412257970130308127e-01,-9.370449321489593331e+01,3.502719176083715524e+00,-1.166643704900727441e+00
6.099999999999999867e-02,1.447285161891145588e-01,-9.377133697538225476e+01,3.500009854462307057e+00,-1.253812135036283637e+00
6.199999999999999956e-02,1.482285260435768359e-01,-9.384317511902212061e+01,3.495902666308841944e+00,-1.344110347349979806e+00
6.300000000000000044e-02,1.517244287098857003e-01,-9.392018696912514031e+01,3.490491143246539085e+00,-1.437310633381637448e+00
6.400000000000000133e-02,1.552149198531322383e-01,-9.400253880226716774e+01,3.483875015395590413e+00,-1.533160099632272733e+00
6.500000000000000222e-02,1.586987948685278371e-01,-9.409038240529395125e+01,3.476159553003198788e+00,-1.631384123440790423e+00
6.600000000000000311e-02,1.621749544215310146e-01,-9.418385383033175628e+01,3.467454674909905776e+00,-1.731690448181402386e+00
6.700000000000000400e-02,1.656424090964409290e-01,-9.428307238443568394e+01,3.457873808169052321e+00,-1.833773874430713047e+00
6.800000000000000488e-02,1.691002829046099887e-01,-9.438813988802191091e+01,3.447532487008169166e+00,-1.937321491333001688e+00
6.900000000000000577e-02,1.725478153916181479e-01,-9.449914023303527699e+01,3.436546683661251045e+00,-2.042018381841093078e+00
7.000000000000000666e-02,1.759843620752793991e-01,-9.461613926800292518e+01,3.425030868221702995e+00,-2.147553727237535348e+00
7.100000000000000755e-02,1.794093929435010837e-01,-9.473918503285122483e+01,3.413095799348122128e+00,-2.253627230670550041e+00
7.200000000000000844e-02,1.828224887428492318e-01,-9.486830836176439163e+01,3.400846052157097787e+00,-2.359955776598693600e+00
7.299999999999999545e-02,1.862233347950063289e-01,-9.500352386760101808e+01,3.388377293704848636e+00,-2.466280243152537466e+00
7.399999999999999634e-02,1.896117120887111651e-01,-9.514483131663014603e+01,3.375773319837397590e+00,-2.572372387514389569e+00
7.499999999999999722e-02,1.929874854085485703e-01,-9.529221739777071321e+01,3.363102869631168002e+00,-2.678041730415948063e+00
7.599999999999999811e-02,1.963505882781797218e-01,-9.544565788628345615e+01,3.350416234925176706e+00,-2.783142374601794700e+00
7.699999999999999900e-02,1.997010045131049072e-01,-9.560512019813215545e+01,3.337741682361419215e+00,-2.887579703376644158e+00
7.799999999999999989e-02,2.030387461954663020e-01,-9.577056632814327486e+01,3.325081703731656457e+00,-2.991316918865713159e+00
7.900000000000000078e-02,2.063638278991979658e-01,-9.594195616278035743e+01,3.312436297769889570e+00,-3.094353773298002430e+00
8.000000000000000167e-02,2.096762641969678598e-01,-9.611924957431070027e+01,3.299805463211579415e+00,-3.196690276977197875e+00
8.100000000000000255e-02,2.129760696601794567e-01,-9.630240643559201885e+01,3.287189198793640799e+00,-3.298326440136950755e+00
8.200000000000000344e-02,2.162632588589730731e-01,-9.649138662006826905e+01,3.274587503254448695e+00,-3.399262272940875906e+00
8.300000000000000433e-02,2.195378463622275067e-01,-9.668615000176582441e+01,3.262000375333832469e+00,-3.499497785482557521e+00
8.400000000000000522e-02,2.227998467375613134e-01,-9.688665645528936921e+01,3.249427813773080320e+00,-3.599032987785546478e+00
8.500000000000000611e-02,2.260492745513344170e-01,-9.709286585581781992e+01,3.236869817314935727e+00,-3.697867889803363006e+00
8.600000000000000699e-02,2.292861443686493306e-01,-9.730473807910050255e+01,3.224326384703598780e+00,-3.796002501419497577e+00
8.700000000000000788e-02,2.325104707533529325e-01,-9.752223300145294616e+01,3.211797514684726185e+00,-3.893436832447411344e+00
8.799999999999999489e-02,2.357222682680376880e-01,-9.774531049975296071e+01,3.199283206005431257e+00,-3.990170892630537036e+00
8.899999999999999578e-02,2.389215514740431201e-01,-9.797393045143662960e+01,3.186783457414283038e+00,-4.086204691642280729e+00
8.999999999999999667e-02,2.421083349314573918e-01,-9.820805273449428796e+01,3.174298267661306294e+00,-4.181538239086022735e+00
9.099999999999999756e-02,2.452826331991186937e-01,-9.844763722746648682e+01,3.161827635497982847e+00,-4.276171544495118049e+00
9.199999999999999845e-02,2.484444608346166872e-01,-9.869264380943999981e+01,3.149371559677248911e+00,-4.370104617332897234e+00
9.299999999999999933e-02,2.515938323942939481e-01,-9.894303236004381574e+01,3.136930038953497313e+00,-4.463337466992665092e+00
9.400000000000000022e-02,2.547307624332474374e-01,-9.919876275944510269e+01,3.124503072082575272e+00,-4.555870102797709542e+00
9.500000000000000111e-02,2.578552655053300002e-01,-9.945979488834524318e+01,3.112090657821786621e+00,-4.647702534001292740e+00
9.600000000000000200e-02,2.609673561631517535e-01,-9.972608862797576990e+01,3.099692794929890027e+00,-4.738834769786658185e+00
9.700000000000000289e-02,2.640670489580816960e-01,-9.999760386009440083e+01,3.087309482167098995e+00,-4.829266819267029831e+00
9.800000000000000377e-02,2.671543584402487626e-01,-1.002743004669809750e+02,3.074940718295081865e+00,-4.918998691485612973e+00
9.900000000000000466e-02,2.702292991585438786e-01,-1.005561383314334734e+02,3.062586502076963146e+00,-5.008030395415593361e+00
1.000000000000000056e-01,2.732918856606208480e-01,-1.008430773367640256e+02,3.050246832277319964e+00,-5.096361939960143417e+00
1.010000000000000064e-01,2.763421324928981848e-01,-1.011350773667948602e+02,3.037921707662186943e+00,-5.183993333952415128e+00
1.020000000000000073e-01,2.793800542005603349e-01,-1.014320983058542822e+02,3.025611126999050438e+00,-5.270924586155548930e+00
1.030000000000000082e-01,2.824056653275593964e-01,-1.017341000387727092e+02,3.013315089056852525e+00,-5.357155705262671042e+00
1.040000000000000091e-01,2.854189804166162303e-01,-1.020410424508787059e+02,3.001033592605990119e+00,-5.442686699896891689e+00
1.049999999999999961e-01,2.884200140092222364e-01,-1.023528854279947780e+02,2.988766636418312306e+00,-5.527517578611312210e+00
1.059999999999999970e-01,2.914087806456405749e-01,-1.026695888564335775e+02,2.976514219267124783e+00,-5.611648349889018839e+00
1.069999999999999979e-01,2.943852948649077206e-01,-1.029911126229937679e+02,2.964276339927184978e+00,-5.695079022143088920e+00
1.079999999999999988e-01,2.973495712048349060e-01,-1.033174166149560591e+02,2.952052997174705595e+00,-5.777809603716590914e+00
1.089999999999999997e-01,3.003016242020096205e-01,-1.036484607200791714e+02,2.939844189787351514e+00,-5.859840102882582613e+00
