FILE_NAME=Trajectory_L4ToStow.csv,T=0.54,dt=0.001,h0=0.7,hf=0.0,theta0_deg=-235.0,thetaf_deg=-93.0,dh0=0.0,dhf=0.0,dtheta0=0.0,dthetaf=0.0,h_min_for_arm=0.3,penalty_strength=100000000.0
time,height,angle_deg,dh,dtheta_rad_s
2.500000000000000000e-01,6.486356590062291039e-01,-1.481454129014714169e+02,-9.075358082587399178e-01,8.367280489313722924e+00
2.510000000000000009e-01,6.477281231979703513e-01,-1.476660030434316013e+02,-9.171081457072327581e-01,8.355059060404963489e+00
2.520000000000000018e-01,6.468110150522630164e-01,-1.471872934216878548e+02,-9.267278869571378142e-01,8.342473651034662652e+00
2.530000000000000027e-01,6.458842871653058815e-01,-1.467093048907844661e+02,-9.363950329704294750e-01,8.329524259944278697e+00
2.540000000000000036e-01,6.449478921323354985e-01,-1.462320583053378016e+02,-9.461095847138222270e-01,8.316210885838875910e+00
2.550000000000000044e-01,6.440017825476216373e-01,-1.457555745200384933e+02,-9.558715431587712086e-01,8.302533527387115697e+00
2.560000000000000053e-01,6.430459110044628446e-01,-1.452798743896533438e+02,-9.656809092814723217e-01,8.288492183221260134e+00
2.570000000000000062e-01,6.420802300951813368e-01,-1.448049787690275991e+02,-9.755376840628622315e-01,8.274086851937173748e+00
2.580000000000000071e-01,6.411046924111184486e-01,-1.443309085130869107e+02,-9.854418684886182556e-01,8.259317532094327063e+00
2.590000000000000080e-01,6.401192505426297474e-01,-1.438576844768394949e+02,-9.953934635491589189e-01,8.244184222215787727e+00
2.600000000000000089e-01,6.391238570790805928e-01,-1.433853275153781794e+02,-1.005392470239643732e+00,8.228686920788222281e+00
2.610000000000000098e-01,6.381184646088409185e-01,-1.429138584838825068e+02,-1.015438889559973523e+00,8.212825626261901490e+00
2.620000000000000107e-01,6.371030257192810131e-01,-1.424432982376208372e+02,-1.025532722514789663e+00,8.196600337050696794e+00
2.630000000000000115e-01,6.360774929967661917e-01,-1.419736676319523099e+02,-1.035673970113476283e+00,8.180011051532080302e+00
2.640000000000000124e-01,6.350418190266526874e-01,-1.415049875223291735e+02,-1.045862633370157280e+00,8.163057768047121243e+00
2.650000000000000133e-01,6.339959563932824338e-01,-1.410372787642986054e+02,-1.056098713303699643e+00,8.145740484900491296e+00
2.660000000000000142e-01,6.329398576799787346e-01,-1.405705622135049282e+02,-1.066382210937711017e+00,8.128059200360464587e+00
2.670000000000000151e-01,6.318734754690410460e-01,-1.401048587256917983e+02,-1.076713127300541251e+00,8.110013912658908808e+00
2.680000000000000160e-01,6.307967623417405356e-01,-1.396401891567040821e+02,-1.087091463425282178e+00,8.091604619991299430e+00
2.690000000000000169e-01,6.297096708783153085e-01,-1.391765743624900153e+02,-1.097517220349766953e+00,8.072831320516703713e+00
2.700000000000000178e-01,6.286121536579655222e-01,-1.387140351991033640e+02,-1.107990399116571822e+00,8.053694012357794918e+00
2.710000000000000187e-01,6.275041632588489460e-01,-1.382525925227054699e+02,-1.118511000773014352e+00,8.034192693600839874e+00
2.720000000000000195e-01,6.263856522580759645e-01,-1.377922671895672977e+02,-1.129079026371154759e+00,8.014327362295707857e+00
2.730000000000000204e-01,6.252565732317048042e-01,-1.373330800560715375e+02,-1.139694476967795689e+00,7.994098016455863487e+00
2.740000000000000213e-01,6.241168787547369812e-01,-1.368750519787147084e+02,-1.150357353624481771e+00,7.973504654058374719e+00
2.750000000000000222e-01,6.229665214011125274e-01,-1.364182038141092619e+02,-1.161067657407501397e+00,7.952547273043904852e+00
2.760000000000000231e-01,6.218054537437051055e-01,-1.359625564189855709e+02,-1.171825389387884275e+00,7.931225871316714304e+00
